clave_municipio,entidad,mpio,gdp_tourism,gdp_toursim_ss,numero_hospitales,poblacion_2022,popnoafmed2015,gini2015,popden2020,crimen_2018,crimen_2019,inclusion_fin_2019,porcentaje_pob_pobreza,porcentaje_pob_servicios_salud,pob_6-14_no_edu,rezago_social,grado_rs
12081,Guerrero,Iliatenco,,,3,11317,17.833,0.394,49.186,0,27.48,0,80.24,31.24,3.46,1.82,Muy alto
13001,Hidalgo,Acatlan,9152393221,0.281935707,7,22119,19.15,0.351,127.464,13.58,40.29,0,39.29,37.46,7.36,-0.3,Bajo
13002,Hidalgo,Acaxochitlan,4234189020,0.13043245,17,46234,19.094,0.384,203.737,8.81,17.39,0,80.09,20.68,7.18,0.71,Medio
13003,Hidalgo,Actopan,3320171753,0.102276524,96,61311,21.457,0.401,217.787,6.65,9.87,2.04,48.02,35.36,2.92,-0.87,Muy bajo
13004,Hidalgo,Agua Blanca de Iturbide,2442989422,0.075255284,6,9705,21.095,0.366,105.666,0,10.43,0,60,25.13,3.5,0.03,Bajo
13005,Hidalgo,Ajacuba,2108444396,0.064949762,20,19882,16.965,0.341,97.935,0,5.46,0,48.07,28.86,3.9,-0.67,Bajo
13006,Hidalgo,Alfajayucan,1354287026,0.041718254,11,22078,20.382,0.359,40.971,9.74,4.83,0,48.56,32.3,2.49,-0.31,Bajo
13007,Hidalgo,Almoloya,746677534.3,0.023001094,9,13135,10.04,0.354,44.379,0,0,0,50.24,15.82,2.78,-0.55,Bajo
13008,Hidalgo,Apan,714415466.7,0.022007274,49,48036,17.772,0.368,134.566,4.35,10.76,1.17,41.36,23.88,3.51,-0.93,Muy bajo
13009,Hidalgo,El Arenal,643289967.7,0.019816283,3,20199,15.101,0.338,157.554,15.41,5.08,0,48.89,29.13,4.15,-0.62,Bajo
13010,Hidalgo,Atitalaquia,541871527.4,0.016692129,40,32226,17.296,0.379,491.044,6.81,10.11,0.91,28.96,21.3,3.18,-1.05,Muy bajo
13011,Hidalgo,Atlapexco,541519534.2,0.016681286,14,21662,8.15,0.414,233.632,0,14.74,0,65.16,15.79,2.87,0.4,Medio
13012,Hidalgo,Atotonilco el Grande,526846852.7,0.0162293,30,29469,12.051,0.374,70.64,3.35,13.27,1.37,52.42,29.86,4.06,-0.34,Bajo
13013,Hidalgo,Atotonilco de Tula,485138580.7,0.014944494,35,41039,20.226,0.339,2028.247,22.72,42.11,0,32.86,22.82,3.97,-1.16,Muy bajo
13014,Hidalgo,Calnali,468509021.2,0.014432228,11,18680,7.936,0.393,84.911,0,11.2,0,66.15,13.53,2.31,0.19,Medio
13015,Hidalgo,Cardonal,448766887.4,0.013824079,2,19853,15.141,0.382,42.004,4.85,9.6,0,56.5,30.45,1.97,-0.25,Bajo
13016,Hidalgo,Cuautepec de Hinojosa,362152520.6,0.011155959,38,62361,23.47,0.364,162.16,17.65,31.7,0.44,67.32,30.85,5.54,-0.44,Bajo
13017,Hidalgo,Chapantongo,295213836.2,0.009093941,9,14659,15.28,0.349,43.499,7.7,22.95,0,49.26,27.53,4.76,0.01,Bajo
13018,Hidalgo,Chapulhuacan,294996696.1,0.009087252,12,25460,9.244,0.415,95.828,4.19,4.15,0,51.37,20.09,4.81,-0.02,Bajo
13019,Hidalgo,Chilcuautla,276778002.6,0.008526032,4,19638,22.45,0.378,81.751,10.27,5.08,0,48.85,30.82,2.06,-0.31,Bajo
13020,Hidalgo,Eloxochitlan,182871649.4,0.005633286,2,2972,7.462,0.345,12.939,0,32.54,0,52.98,20.92,4.94,-0.31,Bajo
13021,Hidalgo,Emiliano Zapata,167516980.2,0.005160292,17,15803,17.909,0.353,421.528,0,0,0,37.81,23.56,4.1,-1,Muy bajo
